category,image,price,name
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_BF.jpg,650,Black Forest 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_SS.jpg,750,Sumptuous Strawberry .. 
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_CC.jpg,750,Classic Chips 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_RR.jpg,800,Rusty Rasberry 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_NIA.jpg,850,Nutty Indulgence  Al .. 
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_FI.jpg,700,Fudgy Indulgence 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_MM.jpg,700,Mocha Magic 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_PP.jpg,650,Pure Punch 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_TTjpg.jpg,800,Tempting Temptations .. 
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_NIW.jpg,800,Nutty Indulgence Wal .. 
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_DBC.jpg,750,Dark Brown Cake
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_GD.jpg,750,German Divinity 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_IC.jpg,700,Irish Coffee 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_PE.jpg,700,Pure Ecstasy 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_WF.jpg,800,White Forest 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_BlackC.jpg,700,Black Currant 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_BG.jpg,750,Blueberry Gateaux 1K .. 
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_Bsc.jpg,650,Butter Scotch 1Kg
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_FFG.jpg,800,Fresh Fruit Gateaux  .. 
 Signature Cakes ,http://www.justbake.in/userfiles/20151110_WebsiteTemplate_FOTF.jpg,750,Fruit Of Forest 1Kg
